"","hh_id","item_id","l_1_13","l_consumption_purchased","l_consumption_produced","l_consumption_gift","elc_aggr_tier","locality"
"1",1000506120305,"Cereals & cereal products ","Yes",2000,3500,0,"Tier 0",0
"2",1000506120305,"Pulses & nuts ","Yes",0,1200,0,"Tier 0",0
"3",1000506120305,"Milk & milk products ","Yes",300,0,100,"Tier 0",0
"4",1000506120305,"Edible oil ","Yes",400,0,0,"Tier 0",0
"5",1000506120305,"Vegetables ","Yes",1500,0,0,"Tier 0",0
"6",1000506120305,"Egg, & poultry","No",NA,NA,NA,"Tier 0",0
"7",1000506120305,"Meat and meat products","Yes",800,0,0,"Tier 0",0
"8",1000506120305,"Fish (smoked/fresh)","No",NA,NA,NA,"Tier 0",0
"9",1000506120305,"Sugar & Salt","Yes",100,0,0,"Tier 0",0
"10",1000506120305,"Other food items ","Yes",300,0,0,"Tier 0",0
"11",1000506120305,"Meals/food bought outside home ","No",NA,NA,NA,"Tier 0",0
"12",1000506120305,"Beverages ","No",NA,NA,NA,"Tier 0",0
"13",1000506120305,"Alcohol, tobacco and cigarettes","No",NA,NA,NA,"Tier 0",0
"14",1000506120401,"Cereals & cereal products ","Yes",0,4000,0,"Tier 0",0
"15",1000506120401,"Pulses & nuts ","Yes",0,3600,0,"Tier 0",0
"16",1000506120401,"Milk & milk products ","No",NA,NA,NA,"Tier 0",0
"17",1000506120401,"Edible oil ","Yes",950,0,0,"Tier 0",0
"18",1000506120401,"Vegetables ","Yes",830,0,0,"Tier 0",0
"19",1000506120401,"Egg, & poultry","No",NA,NA,NA,"Tier 0",0
"20",1000506120401,"Meat and meat products","No",NA,NA,NA,"Tier 0",0
"21",1000506120401,"Fish (smoked/fresh)","No",NA,NA,NA,"Tier 0",0
"22",1000506120401,"Sugar & Salt","Yes",170,0,0,"Tier 0",0
"23",1000506120401,"Other food items ","No",NA,NA,NA,"Tier 0",0
"24",1000506120401,"Meals/food bought outside home ","No",NA,NA,NA,"Tier 0",0
"25",1000506120401,"Beverages ","No",NA,NA,NA,"Tier 0",0
"26",1000506120401,"Alcohol, tobacco and cigarettes","No",NA,NA,NA,"Tier 0",0
"27",1000506120601,"Cereals & cereal products ","Yes",1400,1000,0,"Tier 0",0
"28",1000506120601,"Pulses & nuts ","Yes",0,700,0,"Tier 0",0
"29",1000506120601,"Milk & milk products ","Yes",100,0,0,"Tier 0",0
"30",1000506120601,"Edible oil ","Yes",200,0,0,"Tier 0",0
"31",1000506120601,"Vegetables ","Yes",500,0,0,"Tier 0",0
"32",1000506120601,"Egg, & poultry","No",NA,NA,NA,"Tier 0",0
"33",1000506120601,"Meat and meat products","Yes",1000,0,0,"Tier 0",0
"34",1000506120601,"Fish (smoked/fresh)","No",NA,NA,NA,"Tier 0",0
"35",1000506120601,"Sugar & Salt","No",NA,NA,NA,"Tier 0",0
"36",1000506120601,"Other food items ","Yes",150,0,0,"Tier 0",0
"37",1000506120601,"Meals/food bought outside home ","No",NA,NA,NA,"Tier 0",0
"38",1000506120601,"Beverages ","No",NA,NA,NA,"Tier 0",0
"39",1000506120601,"Alcohol, tobacco and cigarettes","Yes",200,0,0,"Tier 0",0
"40",1000506120602,"Cereals & cereal products ","Yes",5000,3000,0,"Tier 0",0
"41",1000506120602,"Pulses & nuts ","Yes",450,450,0,"Tier 0",0
"42",1000506120602,"Milk & milk products ","Yes",300,0,0,"Tier 0",0
"43",1000506120602,"Edible oil ","Yes",350,0,0,"Tier 0",0
"44",1000506120602,"Vegetables ","Yes",150,0,0,"Tier 0",0
"45",1000506120602,"Egg, & poultry","No",NA,NA,NA,"Tier 0",0
"46",1000506120602,"Meat and meat products","Yes",1000,0,0,"Tier 0",0
"47",1000506120602,"Fish (smoked/fresh)","No",NA,NA,NA,"Tier 0",0
"48",1000506120602,"Sugar & Salt","Yes",200,0,0,"Tier 0",0
"49",1000506120602,"Other food items ","No",NA,NA,NA,"Tier 0",0
"50",1000506120602,"Meals/food bought outside home ","Yes",400,0,0,"Tier 0",0
"51",1000506120602,"Beverages ","No",NA,NA,NA,"Tier 0",0
"52",1000506120602,"Alcohol, tobacco and cigarettes","Yes",500,0,0,"Tier 0",0
"53",1000506120901,"Cereals & cereal products ","Yes",0,2000,0,"Tier 0",0
"54",1000506120901,"Pulses & nuts ","No",NA,NA,NA,"Tier 0",0
"55",1000506120901,"Milk & milk products ","Yes",100,0,0,"Tier 0",0
"56",1000506120901,"Edible oil ","No",NA,NA,NA,"Tier 0",0
"57",1000506120901,"Vegetables ","No",NA,NA,NA,"Tier 0",0
"58",1000506120901,"Egg, & poultry","No",NA,NA,NA,"Tier 0",0
"59",1000506120901,"Meat and meat products","No",NA,NA,NA,"Tier 0",0
"60",1000506120901,"Fish (smoked/fresh)","No",NA,NA,NA,"Tier 0",0
"61",1000506120901,"Sugar & Salt","No",NA,NA,NA,"Tier 0",0
"62",1000506120901,"Other food items ","No",NA,NA,NA,"Tier 0",0
"63",1000506120901,"Meals/food bought outside home ","No",NA,NA,NA,"Tier 0",0
"64",1000506120901,"Beverages ","No",NA,NA,NA,"Tier 0",0
"65",1000506120901,"Alcohol, tobacco and cigarettes","Yes",200,0,0,"Tier 0",0
"66",1000506121202,"Cereals & cereal products ","Yes",0,2000,0,"Tier 0",0
"67",1000506121202,"Pulses & nuts ","Yes",0,500,0,"Tier 0",0
"68",1000506121202,"Milk & milk products ","Yes",120,0,0,"Tier 0",0
"69",1000506121202,"Edible oil ","Yes",500,0,0,"Tier 0",0
"70",1000506121202,"Vegetables ","Yes",200,0,0,"Tier 0",0
