"","hh_id","item_id","l_14_22","l_expenditure","elc_aggr_tier","locality"
"1",1000506120305,"Medical/pharmacy expenses ","Yes",1000,"Tier 0",0
"2",1000506120305,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",400,"Tier 0",0
"3",1000506120305,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"4",1000506120305,"Electricity and other fuels ","Yes",1000,"Tier 0",0
"5",1000506120305,"Mobile phone top-up  or bills","Yes",500,"Tier 0",0
"6",1000506120305,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"7",1000506120305,"House Rent","No",NA,"Tier 0",0
"8",1000506120305,"Transportation costs ","No",NA,"Tier 0",0
"9",1000506120305,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"10",1000506120401,"Medical/pharmacy expenses ","Yes",2100,"Tier 0",0
"11",1000506120401,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",500,"Tier 0",0
"12",1000506120401,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"13",1000506120401,"Electricity and other fuels ","Yes",2400,"Tier 0",0
"14",1000506120401,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"15",1000506120401,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"16",1000506120401,"House Rent","No",NA,"Tier 0",0
"17",1000506120401,"Transportation costs ","Yes",2450,"Tier 0",0
"18",1000506120401,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"19",1000506120601,"Medical/pharmacy expenses ","Yes",3000,"Tier 0",0
"20",1000506120601,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",560,"Tier 0",0
"21",1000506120601,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"22",1000506120601,"Electricity and other fuels ","No",NA,"Tier 0",0
"23",1000506120601,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"24",1000506120601,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
