"","hh_id","item_id","l_23_36","l_expenditure_12months","elc_aggr_tier","locality"
"1",1000506120305,"School fees and other educational expenses ","Yes",150000,"Tier 0",0
"2",1000506120305,"Clothing, shoes, and accessories","Yes",30000,"Tier 0",0
"3",1000506120305,"Celebrations ","Yes",70000,"Tier 0",0
"4",1000506120305,"Gifts and donations ","No",NA,"Tier 0",0
"5",1000506120305,"Hospital/Doctor visits and Diagnostic tests ","Yes",20000,"Tier 0",0
"6",1000506120305,"Furniture ","No",NA,"Tier 0",0
"7",1000506120305,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"8",1000506120305,"Utensils & kitchen equipment ","Yes",10000,"Tier 0",0
"9",1000506120305,"Electronics ","No",NA,"Tier 0",0
"10",1000506120305,"Appliances & tools ","No",NA,"Tier 0",0
"11",1000506120305,"Vehicles & motorcycle & bicycle ","No",NA,"Tier 0",0
"12",1000506120305,"Remittance sent to family members and relatives","No",NA,"Tier 0",0
"13",1000506120305,"Losses due to theft, robbery, accidents, natural disasters, etc","No",NA,"Tier 0",0
"14",1000506120305,"Other major expenses not yet covered (specify)","No",NA,"Tier 0",0
"15",1000506120401,"School fees and other educational expenses ","No",NA,"Tier 0",0
"16",1000506120401,"Clothing, shoes, and accessories","Yes",21500,"Tier 0",0
"17",1000506120401,"Celebrations ","Yes",1680,"Tier 0",0
"18",1000506120401,"Gifts and donations ","Yes",14000,"Tier 0",0
"19",1000506120401,"Hospital/Doctor visits and Diagnostic tests ","Yes",36000,"Tier 0",0
"20",1000506120401,"Furniture ","No",NA,"Tier 0",0
"21",1000506120401,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"22",1000506120401,"Utensils & kitchen equipment ","No",NA,"Tier 0",0
"23",1000506120401,"Electronics ","No",NA,"Tier 0",0
"24",1000506120401,"Appliances & tools ","No",NA,"Tier 0",0
"25",1000506120401,"Vehicles & motorcycle & bicycle ","No",NA,"Tier 0",0
"26",1000506120401,"Remittance sent to family members and relatives","No",NA,"Tier 0",0
"27",1000506120401,"Losses due to theft, robbery, accidents, natural disasters, etc","No",NA,"Tier 0",0
"28",1000506120401,"Other major expenses not yet covered (specify)","No",NA,"Tier 0",0
"29",1000506120601,"School fees and other educational expenses ","Yes",80000,"Tier 0",0
"30",1000506120601,"Clothing, shoes, and accessories","Yes",20000,"Tier 0",0
"31",1000506120601,"Celebrations ","No",NA,"Tier 0",0
"32",1000506120601,"Gifts and donations ","No",NA,"Tier 0",0
"33",1000506120601,"Hospital/Doctor visits and Diagnostic tests ","Yes",15000,"Tier 0",0
"34",1000506120601,"Furniture ","No",NA,"Tier 0",0
"35",1000506120601,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"36",1000506120601,"Utensils & kitchen equipment ","No",NA,"Tier 0",0
"37",1000506120601,"Electronics ","No",NA,"Tier 0",0
"38",1000506120601,"Appliances & tools ","No",NA,"Tier 0",0
"39",1000506120601,"Vehicles & motorcycle & bicycle ","No",NA,"Tier 0",0
"40",1000506120601,"Remittance sent to family members and relatives","No",NA,"Tier 0",0
"41",1000506120601,"Losses due to theft, robbery, accidents, natural disasters, etc","No",NA,"Tier 0",0
"42",1000506120601,"Other major expenses not yet covered (specify)","No",NA,"Tier 0",0
"43",1000506120602,"School fees and other educational expenses ","Yes",3000,"Tier 0",0
"44",1000506120602,"Clothing, shoes, and accessories","Yes",25000,"Tier 0",0
"45",1000506120602,"Celebrations ","No",NA,"Tier 0",0
"46",1000506120602,"Gifts and donations ","No",NA,"Tier 0",0
"47",1000506120602,"Hospital/Doctor visits and Diagnostic tests ","Yes",2000,"Tier 0",0
"48",1000506120602,"Furniture ","No",NA,"Tier 0",0
"49",1000506120602,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"50",1000506120602,"Utensils & kitchen equipment ","Yes",3400,"Tier 0",0
"51",1000506120602,"Electronics ","No",NA,"Tier 0",0
"52",1000506120602,"Appliances & tools ","No",NA,"Tier 0",0
"53",1000506120602,"Vehicles & motorcycle & bicycle ","No",NA,"Tier 0",0
"54",1000506120602,"Remittance sent to family members and relatives","No",NA,"Tier 0",0
"55",1000506120602,"Losses due to theft, robbery, accidents, natural disasters, etc","No",NA,"Tier 0",0
"56",1000506120602,"Other major expenses not yet covered (specify)","No",NA,"Tier 0",0
"57",1000506120901,"School fees and other educational expenses ","No",NA,"Tier 0",0
"58",1000506120901,"Clothing, shoes, and accessories","Yes",10000,"Tier 0",0
"59",1000506120901,"Celebrations ","Yes",10000,"Tier 0",0
"60",1000506120901,"Gifts and donations ","No",NA,"Tier 0",0
"61",1000506120901,"Hospital/Doctor visits and Diagnostic tests ","Yes",10000,"Tier 0",0
"62",1000506120901,"Furniture ","No",NA,"Tier 0",0
"63",1000506120901,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"64",1000506120901,"Utensils & kitchen equipment ","No",NA,"Tier 0",0
"65",1000506120901,"Electronics ","No",NA,"Tier 0",0
"66",1000506120901,"Appliances & tools ","No",NA,"Tier 0",0
"67",1000506120901,"Vehicles & motorcycle & bicycle ","No",NA,"Tier 0",0
"68",1000506120901,"Remittance sent to family members and relatives","No",NA,"Tier 0",0
"69",1000506120901,"Losses due to theft, robbery, accidents, natural disasters, etc","No",NA,"Tier 0",0
"70",1000506120901,"Other major expenses not yet covered (specify)","No",NA,"Tier 0",0
"71",1000506121202,"School fees and other educational expenses ","No",NA,"Tier 0",0
"72",1000506121202,"Clothing, shoes, and accessories","Yes",25000,"Tier 0",0
"73",1000506121202,"Celebrations ","Yes",40000,"Tier 0",0
"74",1000506121202,"Gifts and donations ","Yes",5000,"Tier 0",0
"75",1000506121202,"Hospital/Doctor visits and Diagnostic tests ","Yes",50000,"Tier 0",0
"76",1000506121202,"Furniture ","No",NA,"Tier 0",0
"77",1000506121202,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"78",1000506121202,"Utensils & kitchen equipment ","Yes",2000,"Tier 0",0
"79",1000506121202,"Electronics ","No",NA,"Tier 0",0
"80",1000506121202,"Appliances & tools ","No",NA,"Tier 0",0
"81",1000506121202,"Vehicles & motorcycle & bicycle ","No",NA,"Tier 0",0
"82",1000506121202,"Remittance sent to family members and relatives","No",NA,"Tier 0",0
"83",1000506121202,"Losses due to theft, robbery, accidents, natural disasters, etc","No",NA,"Tier 0",0
"84",1000506121202,"Other major expenses not yet covered (specify)","No",NA,"Tier 0",0
"85",1000506121304,"School fees and other educational expenses ","No",NA,"Tier 0",0
"86",1000506121304,"Clothing, shoes, and accessories","Yes",20000,"Tier 0",0
"87",1000506121304,"Celebrations ","Yes",10000,"Tier 0",0
"88",1000506121304,"Gifts and donations ","No",NA,"Tier 0",0
"89",1000506121304,"Hospital/Doctor visits and Diagnostic tests ","Yes",20000,"Tier 0",0
"90",1000506121304,"Furniture ","No",NA,"Tier 0",0
"91",1000506121304,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"92",1000506121304,"Utensils & kitchen equipment ","No",NA,"Tier 0",0
"93",1000506121304,"Electronics ","No",NA,"Tier 0",0
"94",1000506121304,"Appliances & tools ","No",NA,"Tier 0",0
"95",1000506121304,"Vehicles & motorcycle & bicycle ","No",NA,"Tier 0",0
"96",1000506121304,"Remittance sent to family members and relatives","No",NA,"Tier 0",0
"97",1000506121304,"Losses due to theft, robbery, accidents, natural disasters, etc","No",NA,"Tier 0",0
"98",1000506121304,"Other major expenses not yet covered (specify)","No",NA,"Tier 0",0
"99",1000506121604,"School fees and other educational expenses ","Yes",3000,"Tier 0",0
"100",1000506121604,"Clothing, shoes, and accessories","Yes",16000,"Tier 0",0
"101",1000506121604,"Celebrations ","No",NA,"Tier 0",0
"102",1000506121604,"Gifts and donations ","Yes",2500,"Tier 0",0
"103",1000506121604,"Hospital/Doctor visits and Diagnostic tests ","Yes",11000,"Tier 0",0
"104",1000506121604,"Furniture ","Yes",200,"Tier 0",0
"105",1000506121604,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"106",1000506121604,"Utensils & kitchen equipment ","No",NA,"Tier 0",0
"107",1000506121604,"Electronics ","No",NA,"Tier 0",0
"108",1000506121604,"Appliances & tools ","No",NA,"Tier 0",0
"109",1000506121604,"Vehicles & motorcycle & bicycle ","No",NA,"Tier 0",0
"110",1000506121604,"Remittance sent to family members and relatives","No",NA,"Tier 0",0
"111",1000506121604,"Losses due to theft, robbery, accidents, natural disasters, etc","No",NA,"Tier 0",0
"112",1000506121604,"Other major expenses not yet covered (specify)","No",NA,"Tier 0",0
"113",1000506122001,"School fees and other educational expenses ","Yes",1e+05,"Tier 0",0
"114",1000506122001,"Clothing, shoes, and accessories","Yes",25000,"Tier 0",0
"115",1000506122001,"Celebrations ","Yes",50000,"Tier 0",0
"116",1000506122001,"Gifts and donations ","No",NA,"Tier 0",0
"117",1000506122001,"Hospital/Doctor visits and Diagnostic tests ","Yes",22000,"Tier 0",0
"118",1000506122001,"Furniture ","No",NA,"Tier 0",0
"119",1000506122001,"Purchase, repair, maintenance, and building ","No",NA,"Tier 0",0
"120",1000506122001,"Utensils & kitchen equipment ","No",NA,"Tier 0",0
"121",1000506122001,"Electronics ","No",NA,"Tier 0",0
"122",1000506122001,"Appliances & tools ","Yes",500,"Tier 0",0
