"","hh_id","f2","fuel_roster_name","f3","f3_oth","f_4","f_4oth","f_5","f_6","f_7","f_8","f_9","f_10","f_4_text","f_11","f_12","f_13_1","f_13oth","f_14__1","f_14__2","f_14__3","f_14__4","f_14__5","f_14__6","f_14__7","f_14__8","f_14__111","cs_aggr_tier","elc_aggr_tier","locality"
"1",1000506120305,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"2",1000506120305,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"3",1000506120305,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"4",1000506120305,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"5",1000506120305,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"6",1000506120401,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"7",1000506120401,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"8",1000506120401,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"9",1000506120401,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"10",1000506120401,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"11",1000506120601,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"12",1000506120601,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"13",1000506120601,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"14",1000506120601,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"15",1000506120601,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"16",1000506120602,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"17",1000506120602,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"18",1000506120602,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"19",1000506120602,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"20",1000506120602,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"21",1000506120901,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"22",1000506120901,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"23",1000506120901,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"24",1000506120901,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"25",1000506120901,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"26",1000506121202,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"27",1000506121202,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"28",1000506121202,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"29",1000506121202,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"30",1000506121202,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
"31",1000506121304,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",0
