"","hh_id","g2","g3","g_4","g_5","g_6","g_7","g_8","g_9","interview__key","cs_aggr_tier","elc_aggr_tier","locality"
"1",1000506120305,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"2",1000506120305,"Flashlights","Yes",3,400,12,12,"Regular source of lighting",14,"88-06-47-05","Tier 1","Tier 0",0
"3",1000506120305,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"4",1000506120305," Radio","Yes",1,3000,12,6,"No light available",12,"88-06-47-05","Tier 1","Tier 0",0
"5",1000506120305,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"6",1000506120401,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"7",1000506120401,"Flashlights","Yes",3,600,12,4,"Back-up source of lighting",16,"28-74-75-20","Tier 1","Tier 0",0
"8",1000506120401,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"9",1000506120401," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"10",1000506120401,"Other, specify","Yes",2,200,12,10,"Regular source of lighting",8,"28-74-75-20","Tier 1","Tier 0",0
"11",1000506120601,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"12",1000506120601,"Flashlights","Yes",2,400,12,12,"Regular source of lighting",12,"73-27-18-12","Tier 1","Tier 0",0
"13",1000506120601,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"14",1000506120601," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"15",1000506120601,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"16",1000506120602,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"17",1000506120602,"Flashlights","Yes",4,400,11,10,"Regular source of lighting",48,"54-16-56-83","Tier 1","Tier 0",0
"18",1000506120602,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"19",1000506120602," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"20",1000506120602,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"21",1000506120901,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"22",1000506120901,"Flashlights","Yes",2,600,12,5,"Regular source of lighting",6,"73-13-57-71","Tier 1","Tier 0",0
"23",1000506120901,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"24",1000506120901," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
