"","hh_id","d1","d_start","d2","index_random","random_number","random_percentage_price","d_amount","d_3","d_3b","d_3b_oth","d_4","d_4b","d_4b_oth","d_5","d_5b","d_5b_oth","d_6","d_6b","d_6b_oth","d_7","d_8","d_8oth","d_9","d_10","elc_aggr_tier","locality"
"1",1000506120305,"No","2017-11-20T07:12:21-05:00",1,2,0.43,4300,4300,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3000,300,"Tier 0",0
"2",1000506120401,"No","2017-11-20T07:00:30-05:00",1,5,1,10000,10000,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",12000,1000,"Tier 0",0
"3",1000506120601,"No","2017-11-20T08:15:04-05:00",1,2,0.43,4300,4300,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",0
"4",1000506120602,"No","2017-11-20T07:14:42-05:00",1,2,0.43,4300,4300,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",0
"5",1000506120901,"No","2017-11-20T07:06:15-05:00",2,1,0.29,2900,2900,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",0
"6",1000506121202,"No","2017-11-20T08:16:22-05:00",2,5,1,10000,10000,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",0
"7",1000506121304,"No","2017-11-20T09:16:06-05:00",2,4,0.71,7100,7100,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,150,"Tier 0",0
"8",1000506121604,"No","2017-11-20T10:34:48-05:00",1,4,0.71,7100,7100,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",0
"9",1000506122001,"No","2017-11-20T09:34:06-05:00",2,4,0.71,7100,7100,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,200,"Tier 0",0
"10",1000506122301,"No","2017-11-20T08:26:07-05:00",1,4,0.71,7100,7100,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",4000,1000,"Tier 0",0
