"","hh_id","i_cookstove__id","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13a","i13b","i14__111","i14__1","i14__2","i14__3","i14__4","i14__5","i14__6","i14__7","i14__8","i14__9","i14__10","i14__11","i14__12","i15","i16","i16_oth","i17","i18","i19a","i19b","i20a","i20b","i21","i22","i23","i24","i25","i26","i27","i31__1","i31__2","i31__3","i31__4","i31__5","i31__6","i31__7","i31__8","i31__9","i32","i32_oth","i33","i35","i36a","i36b","interview__key","elc_aggr_tier","locality"
"1",1000506120305,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,20,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood purchased","Wood collected","Always available","Sometimes available",3,7,3,30,60,90,10,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",1000,0,"88-06-47-05","Tier 0",0
"2",1000506120401,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,54,2,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,6,7,2,43,0,58,18,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"28-74-75-20","Tier 0",0
"3",1000506120601,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,10,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,10,7,2,0,60,120,15,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",0,NA,"73-27-18-12","Tier 0",0
"4",1000506120602,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,17,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood collected","Garbage/plastic","Always available","Rarely available",8,7,2,160,0,190,170,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"54-16-56-83","Tier 0",0
"5",1000506120901,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,30,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,5,7,2,40,0,120,5,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"73-13-57-71","Tier 0",0
"6",1000506121202,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,5,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Fixed","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,1,7,4,120,60,120,14,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"75-01-00-19","Tier 0",0
"7",1000506121304,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,7,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Mostly available",NA,10,7,3,40,100,120,7,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"83-06-80-45","Tier 0",0
"8",1000506121604,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,40,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood collected","Crop Residue/Plant Biomass","Always available","Sometimes available",10,7,2,180,0,160,80,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"15-06-84-19","Tier 0",0
"9",1000506122001,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,15,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,5,7,2,60,0,180,10,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"97-44-93-73","Tier 0",0
"10",1000506122301,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,15,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Always available","Mostly available",8,7,3,120,120,180,200,"No","Yes","No","No","No","No","No","No","No","Yes","","Yes","Yes",3000,0,"46-13-78-78","Tier 0",0
"11",1000506122402,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,9,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood purchased","Wood collected","Mostly available","Mostly available",120,7,3,60,160,180,150,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",2500,0,"93-30-49-21","Tier 0",0
"12",1000506122702,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,3,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,5,7,3,60,120,150,10,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"57-08-67-37","Tier 0",0
"13",1000506122801,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,20,4,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,3,7,2,23,0,49,8,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"85-39-32-85","Tier 0",0
