"","hh_id","b_start","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b10_oth","b11","b11_oth","b12","b13__1","b13__2","b13__3","b13__4","b13__5","b13__6","b13__7","b13__8","b13__555","b13_oth","b14","b14_oth","b15","b16","b17__1","b17__2","b17__3","b17__555","b17_oth","b18","b19__1","b19__2","b19__555","b19_oth","b20__1","b20__2","b20__3","b20__4","b20__5","b20__6","b20__7","b20__8","b20__9","b20__10","b20__11","b20__12","b20__13","b20__555","b20_oth","b21","b22","b23","b24__1","b24__2","b24__3","b24__4","b24__5","b24__6","b24__7","b24__8","b24__9","b24__10","b24__11","b24__12","b24__555","b24_oth","elc_aggr_tier","locality","account_institution","informal_institution","loan","c2","i3","i19a","i33"
"1",1000506120305,"2017-11-20T07:06:53-05:00",1,"Yes",NA,37,"Group of enclosed dwellings with multiple households",10,"No","Free",2,"Stone and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","Yes","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood purchased","Yes"
"2",1000506120401,"2017-11-20T06:55:32-05:00",1,"Yes",NA,75,"Group of enclosed dwellings with multiple households",6,"Yes",NA,2,"Stone and mud","","Wood and mud","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","Yes","Yes","No","No","No",NA,"No",NA,NA,NA,"","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,"Commercial Bank",NA,"Commercial/Government Bank","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"3",1000506120601,"2017-11-20T08:13:06-05:00",1,"Yes",NA,30,"A house occupied by multiple households",3,"No","Free",1,"Stone and mud","","Wood and mud","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"4",1000506120602,"2017-11-20T07:09:39-05:00",1,"Yes",NA,40,"A house occupied by multiple households",3,"Yes",NA,2,"Wood and thatch","","Wood and mud","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"5",1000506120901,"2017-11-20T07:00:57-05:00",2,"Yes",NA,60,"A house occupied by multiple households",3,"Yes",NA,1,"Mud bricks (traditional)","","Wood and mud","","Dirt/Mud/Dung","No","No","No","No","No","No","No","No","Yes","bush","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"6",1000506121202,"2017-11-20T08:11:32-05:00",2,"Yes",NA,25,"A house occupied by multiple households",2,"Yes",NA,2,"Mud bricks (traditional)","","Wood and thatch","","Dirt/Mud/Dung","No","No","No","No","No","No","No","No","Yes","Bush","Well/spring unprotected","","Do not know","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"7",1000506121304,"2017-11-20T09:11:44-05:00",2,"Yes",NA,20,"A house occupied by multiple households",4,"Yes",NA,1,"Mud bricks (traditional)","","Wood and mud","","Dirt/Mud/Dung","No","No","No","No","No","No","No","No","Yes","Bush","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"8",1000506121604,"2017-11-20T10:30:35-05:00",1,"Yes",NA,55,"A house occupied by multiple households",3,"Yes",NA,2,"Wood and mud","","Wood and mud","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"Yes","Yes","No","No","","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,"Group Savings (Rotational)","Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"9",1000506122001,"2017-11-20T09:27:01-05:00",2,"Yes",NA,35,"Group of enclosed dwellings with multiple households",2,"Yes",NA,2,"Stone and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"10",1000506122301,"2017-11-20T08:21:52-05:00",1,"Yes",NA,35,"A house occupied by multiple households",5,"Yes",NA,2,"Wood and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"Yes","Yes","No","No","","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,"Group Savings (Rotational)","Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood purchased","Yes"
"11",1000506122402,"2017-11-20T09:28:08-05:00",1,"Yes",NA,35,"A house occupied by multiple households",2,"Yes",NA,2,"Wood and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood purchased","Yes"
"12",1000506122702,"2017-11-20T10:36:10-05:00",2,"Yes",NA,26,"A house occupied by multiple households",2,"No","Free",1,"Stone and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"13",1000506122801,"2017-11-20T08:01:48-05:00",2,"Yes",NA,20,"Group of enclosed dwellings with multiple households",7,"Yes",NA,2,"Wood and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"Yes","Yes","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,"Group Savings (Rotational)","Cannot get a loan/credit","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"14",1000506122902,"2017-11-20T08:59:57-05:00",2,"Yes",NA,17,"Group of enclosed dwellings with multiple households",2,"Yes",NA,1,"Stone and mud","","Wood and mud","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","Yes","Yes","No","No","No",NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 1",0,"Commercial Bank",NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"15",1001500180104,"2017-11-15T09:17:29-05:00",1,"Yes",NA,19,"A single house occupied by one household",NA,"Yes",NA,1,"Wood and thatch","","Corrugated iron sheet","","Cement floor","No","No","No","No","No","No","No","No","Yes","bush","Well/spring unprotected","","Yes","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"16",1001500180107,"2017-11-15T04:49:20-05:00",2,"Yes",NA,7,"Group of enclosed dwellings with multiple households",7,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Cement floor","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"17",1001500180201,"2017-11-15T08:26:39-05:00",2,"Yes",NA,35,"A house occupied by multiple households",2,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","No","No","No","No","No","No","No","No","Yes","Bush","Well/spring unprotected","","Do not know","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Wood collected","Yes"
"18",1001500180702,"2017-11-15T07:31:49-05:00",1,"Yes",NA,75,"A house occupied by multiple households",2,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor","No","3-Stone/Open Fire Stove","Crop Residue/Plant Biomass","Yes"
