"","hh_id","solar_id","c143","c144","c145","c146","c147","c148","c149","c150","c151","c153","c154","c155","c156","c157","c156a","c158","c158a","c159","c160","c161","c162","c163","c164","c165","c166","elc_aggr_tier","locality","c137","c138","c139","sum_solar","c169a","c170a","c171a","c169b","c170b","c171b","c172","c174","c176","c177","c178","c179","c_179oth","c180","c181","c182","c182_oth","c183","percent_lantern","percent_lighting","percent_home"
"1",1000506122902,1,"Module type 3W","Yes","No","Solar Home system",0,888,"Don't Know",888,"No",1,"Head","Bought, fully paid",NA,2000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",12,"No problems","Tier 1",0,0,0,1,1,NA,NA,NA,12,4,12,"No","No","Very satisfied",2015,"Yes",NA,"","Use about the same solar lighting","Mobile phone charger","Dry-cell battery","",1,0,0,100
"2",1003514385706,1,"Saroda","Yes","No","Solar Home system",0,888,"Other, specify (in width and length)",888,"No",1,"Head","Bought, fully paid",NA,2000,NA,NA,NA,NA,NA,NA,NA,"No","No",6,"Breaks too often","Tier 1",1,0,0,1,1,NA,NA,NA,6,4,6,"No","No","Very satisfied",2015,"Do not know","Dry-cell (non-rechargeable) battery/ Torch/Flashlight","","Use less solar lighting",NA,"Dry-cell battery","",3,0,0,100
"3",1004500060401,1,"CITIZEN POWER","No","No","Solar Home system",6,75,"75cm x150cm or larger",888,"Yes",4,"Head","Bought, fully paid",NA,85000,NA,NA,NA,NA,NA,NA,NA,"No","No",888,"No problems","Tier 3",0,0,0,1,1,NA,NA,NA,10,4,2,"No","Yes","Very satisfied",2014,"No","National Grid Connection/NEPA/PHCN","","Use less solar lighting",NA,"Solar Home System","",5,0,0,100
"4",1013501240201,1,"pro","Yes","No","Solar Lantern",NA,888,"Don't Know",888,"No",1,"Head","Bought, fully paid",NA,5000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",6,"Battery problems","Tier 3",1,1,0,0,1,NA,NA,NA,4,2,4,"No","No","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","No change","National Grid Connection","",3,100,0,0
"5",2011512805201,1,"Sumking","No","No","Solar Lantern",NA,1,"Don't Know",888,"No",2,"Head","Bought, fully paid",NA,6500,NA,NA,NA,NA,NA,NA,NA,"No","No",12,"No problems","Tier 3",1,1,0,0,1,NA,NA,NA,6,4,6,"No","No","Very satisfied",2015,"No","National Grid Connection/NEPA/PHCN","","Use less solar lighting",NA,"National Grid Connection","",10,100,0,0
"6",2011512806101,1,"RL Lonto","No","No","Solar Lighting product",0,1,"20cm x20cm or smaller",5,"No",2,"Head","Bought, fully paid",NA,1500,NA,NA,NA,NA,NA,NA,NA,"No","No",5,"Cannot power large appliances","Tier 3",1,0,2,1,3,NA,NA,NA,8,4,8,"No","Yes","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","TV","National Grid Connection","",2,0,66.6666666666667,33.3333333333333
"7",2011512806101,2,"solar Company","Yes","No","Solar Home system",0,0,"Don't Know",0,"No",1,"Head","Received for free","Relative/Friend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",3,"Cannot power large appliances","Tier 3",1,0,2,1,3,NA,NA,NA,8,4,8,"No","Yes","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","TV","National Grid Connection","",2,0,66.6666666666667,33.3333333333333
"8",3008503060501,1,"don't know","Yes","Yes","Solar Lantern",NA,18,"40cm x 40cm",888,"No",1,"Head","Bought, fully paid",NA,1000,NA,NA,NA,NA,NA,NA,NA,"No","No",4,"Battery problems","Tier 2",1,1,0,0,1,NA,NA,NA,4,1,4,"No","Yes","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","National Grid Connection","",2,100,0,0
"9",3008503060601,1,"don't know","No","No","Solar Lantern",NA,3,"20cm x20cm or smaller",888,"No",1,"Head","Bought, fully paid",NA,250,NA,NA,NA,NA,NA,NA,NA,"No","Yes",1,"No problems","Tier 3",1,2,0,0,2,NA,NA,NA,1,1,1,"No","Yes","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use less solar lighting",NA,"National Grid Connection","",3,100,0,0
"10",3008503062601,1,"Lontor CTL-OL080","No","No","Solar Lantern",NA,120,"20cm x20cm or smaller",120,"Yes",2,"Head","Bought, fully paid",NA,2800,NA,NA,NA,NA,NA,NA,NA,"No","No",1,"Duration of service too short","Tier 1",1,1,0,0,1,NA,NA,NA,1,1,1,"No","Yes","Somewhat satisfied",2015,"No","National Grid Connection/NEPA/PHCN","","Use less solar lighting",NA,"National Grid Connection","",1,100,0,0
"11",3008505644301,1,"Andrakk 6116","Yes","No","Solar Home system",5,80,"Don't Know",888,"No",1,"Head","Bought, fully paid",NA,15000,NA,NA,NA,NA,NA,NA,NA,"No","No",12,"No problems","Tier 2",1,6,1,8,15,NA,NA,NA,11,4,11,"No","No","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","National Grid Connection","",10,40,6.66666666666667,53.3333333333333
"12",3008505644301,2,"Supermaster 8866","Yes","Yes","Solar Lighting product",1,888,"Don't Know",12,"No",4,"Head","Bought, fully paid",NA,3000,NA,NA,NA,NA,NA,NA,NA,"No","No",4,"No problems","Tier 2",1,6,1,8,15,NA,NA,NA,11,4,11,"No","No","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","National Grid Connection","",10,40,6.66666666666667,53.3333333333333
"13",3008505644301,3,"Skyrun","Yes","No","Solar Home system",0,80,"20cm x20cm or smaller",888,"No",2,"Head","Bought, fully paid",NA,78000,NA,NA,NA,NA,NA,NA,NA,"No","No",7,"No problems","Tier 2",1,6,1,8,15,NA,NA,NA,11,4,11,"No","No","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","National Grid Connection","",10,40,6.66666666666667,53.3333333333333
"14",3008505644301,4,"Man Lumos","Yes","No","Solar Home system",5,80,"20cm x20cm or smaller",888,"No",1,"Head","Bought, fully paid",NA,15000,NA,NA,NA,NA,NA,NA,NA,"No","No",7,"No problems","Tier 2",1,6,1,8,15,NA,NA,NA,11,4,11,"No","No","Very satisfied",2016,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","National Grid Connection","",10,40,6.66666666666667,53.3333333333333
"15",3008528921301,1,"PV Module  PSS 12080","No","No","Solar Lighting product",1,80,"20cm x20cm or smaller",0,"Yes",1,"Head","Bought, fully paid",NA,16000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",2,"No problems","Tier 2",1,0,1,0,1,NA,NA,NA,3,0,3,"No","No","Very satisfied",888,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","No change","National Grid Connection","",3,0,100,0
