"","hh_id","cs_affd_tier","cs_avbl_tier","cs_conv_tier","cs_exp_tier_hh","cs_safety_tier","hhweight","cs_aggr_tier","elc_cap_tier","elc_durd_tier","elc_dure_tier","elc_rel_tier","elc_qual_tier","elc_leg_tier","elc_sft_tier","elc_aggr_tier","rur","main_src_elec","quintile","connection_fee","toofar"
"1",1000506120305,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1","Tier 1","Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","4th quintile",0,0
"2",1000506120401,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1","Tier 1","Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","2nd quintile ",0,1
"3",1000506120601,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1","Tier 1","Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","3rd quintile ",0,0
"4",1000506120602,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1",NA,"Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","4th quintile",0,1
"5",1000506120901,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1","Tier 1","Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","1st quintile",0,0
"6",1000506121202,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1","Tier 1","Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","2nd quintile ",0,0
"7",1000506121304,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 4: 80% of the year","Tier 1","Tier 1","Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","2nd quintile ",0,0
"8",1000506121604,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1",NA,"Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","4th quintile",0,1
"9",1000506122001,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1","Tier 1","Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","4th quintile",0,0
"10",1000506122301,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1",NA,"Tier 3: Serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","5th quintile",0,1
"11",1000506122402,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 4: 80% of the year","Tier 1",NA,"Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","4th quintile",0,1
"12",1000506122702,"Tier 5: cooking fuel exp < 5% HH total exp","Tier 5: throughout the year","Tier 1","Tier 1","Tier 5: No serious accidents over the past 12 months",2264.02172851562,"Tier 1","Tier 0",NA,NA,NA,NA,NA,NA,"Tier 0","0","No Electricity","2nd quintile ",0,0
