"","hh_id","e1","c136__1","c136__2","c136__3","e_start","index_random_2","index_random_3","random_percentage_3","e_2","solar_system","solar_full_price","solar_price","e_amount","e_3","e_3b","e_3b_oth","e_4","e_4b","e_4b_oth","e_5","e_5b","e_5b_oth","e_6","e_7","e_7_oth","elc_aggr_tier","locality"
"1",1000506120305,"No","No","No","No","2017-11-20T07:15:32-05:00",1,0,0.33,1,"Tier 2",1e+05,33000,33000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"2",1000506120401,"No","No","No","No","2017-11-20T07:02:06-05:00",0,0,0.33,1,"Tier 1",9000,2970,2970,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"3",1000506120601,"No","No","No","No","2017-11-20T08:15:34-05:00",0,0,0.33,1,"Tier 1",9000,2970,2970,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"4",1000506120602,"No","No","No","No","2017-11-20T07:16:25-05:00",0,0,0.33,1,"Tier 1",9000,2970,2970,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"5",1000506120901,"No","No","No",NA,"2017-11-20T07:07:59-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"6",1000506121202,"No","No","No","No","2017-11-20T08:16:49-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"7",1000506121304,"No","No","No","No","2017-11-20T09:17:58-05:00",0,1,0.66,2,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"8",1000506121604,"No","No","No","No","2017-11-20T10:35:14-05:00",1,0,0.33,1,"Tier 2",1e+05,33000,33000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"9",1000506122001,"No","No","No","No","2017-11-20T09:36:46-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"10",1000506122301,"No","No","No","No","2017-11-20T08:28:33-05:00",1,1,0.66,1,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"11",1000506122402,"No","No","No","No","2017-11-20T09:32:44-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"12",1000506122702,"No","No","No","No","2017-11-20T10:41:04-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"13",1000506122801,"No","No","No","No","2017-11-20T08:10:01-05:00",0,1,0.66,2,"Tier 1",9000,5940,5940,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"14",1000506122902,"No","No","No","Yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 1",0
"15",1001500180104,"No","No","No","No","2017-11-15T09:22:48-05:00",1,1,0.66,1,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"16",1001500180107,"No","No","No","No","2017-11-15T05:02:34-05:00",1,1,0.66,2,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",0
"17",1001500180201,"No","No","No","No","2017-11-15T08:33:29-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"18",1001500180702,"No","No","No","No","2017-11-15T07:36:19-05:00",1,0,0.33,1,"Tier 2",1e+05,33000,33000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"19",1001500181501,"No","No","No","No","2017-11-15T05:06:56-05:00",1,1,0.66,1,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"","Tier 0",0
"20",1001500181503,"No","No","No","No","2017-11-15T05:07:15-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"21",1001500181601,"No","No","No","No","2017-11-15T06:41:46-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"22",1001500181605,"No","No","No","No","2017-11-15T08:05:06-05:00",0,1,0.66,1,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"23",1001500181606,"No","No","No","No","2017-11-15T09:31:04-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","Don't know","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"24",1001500181702,"No","No","No","No","2017-11-15T07:02:33-05:00",1,1,0.66,2,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"","Tier 0",0
"25",1001500181802,"No","No","No","No","2017-11-15T05:13:18-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"26",1001500181901,"No","No","No","No","2017-11-15T06:46:27-05:00",1,0,0.33,2,"Tier 2",1e+05,33000,33000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"27",1001500182001,"No","No","No","No","2017-11-15T08:39:54-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"28",1001500182103,"No","No","No","No","2017-11-15T07:02:32-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"29",1001500920601,"No","No","No","No","2017-11-16T04:43:24-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"30",1001500920603,"No","No","No","No","2017-11-16T04:42:17-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",0
"31",1001500920801,"No","No","No","No","2017-11-16T05:47:43-05:00",1,1,0.66,1,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"","Tier 0",0
"32",1001500920902,"No","No","No","No","2017-11-16T06:51:59-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"33",1001500921301,"No","No","No","No","2017-11-16T06:08:29-05:00",1,0,0.33,3,"Tier 2",1e+05,33000,33000,"No","Other, specify","I don't need it","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"34",1001500921501,"No","No","No","No","2017-11-16T04:52:30-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
